nThread,iteration,time
2,1,0.01
2,2,0.01
2,3,0.01
2,4,0.02
2,5,0.01
3,1,0.02
3,2,0.02
3,3,0.02
3,4,0.02
3,5,0.02
4,1,0.03
4,2,0.03
4,3,0.03
4,4,0.03
4,5,0.03
5,1,0.04
5,2,0.04
5,3,0.04
5,4,0.07
5,5,0.04
6,1,0.04
6,2,0.04
6,3,0.04
6,4,0.04
6,5,0.06
7,1,0.07
7,2,0.06
7,3,0.06
7,4,0.06
7,5,0.05
8,1,0.06
8,2,0.07
8,3,0.07
8,4,0.08
8,5,0.06
9,1,0.07
9,2,0.07
9,3,0.07
9,4,0.07
9,5,0.07
10,1,0.08
10,2,0.08
10,3,0.08
10,4,0.08
10,5,0.08
11,1,0.09
11,2,0.09
11,3,0.09
11,4,0.08
11,5,0.09
12,1,0.09
12,2,0.08
12,3,0.09
12,4,0.10
12,5,0.06
