nThread,iteration,time
2,1,0.94
2,2,0.94
2,3,1.10
2,4,1.10
2,5,1.01
3,1,0.98
3,2,1.04
3,3,1.10
3,4,1.16
3,5,1.13
4,1,1.29
4,2,1.17
4,3,1.14
4,4,1.16
4,5,1.29
5,1,1.16
5,2,1.20
5,3,1.91
5,4,1.34
5,5,1.21
6,1,1.17
6,2,1.15
6,3,2.43
6,4,1.10
6,5,1.11
7,1,7.68
7,2,2.74
7,3,4.93
7,4,2.55
7,5,4.85
8,1,6.22
8,2,6.61
8,3,6.47
8,4,5.06
8,5,4.33
9,1,5.51
9,2,11.42
9,3,7.59
9,4,7.18
9,5,6.60
10,1,11.73
10,2,13.01
10,3,10.64
10,4,9.43
10,5,9.88
11,1,10.41
11,2,9.32
11,3,14.32
11,4,10.21
11,5,13.27
12,1,10.47
12,2,10.12
12,3,11.97
12,4,11.31
12,5,12.94
