nThread,iteration,time
2,1,1.24
2,2,1.03
2,3,1.13
2,4,1.16
2,5,1.17
3,1,1.25
3,2,1.31
3,3,1.21
3,4,1.32
3,5,1.26
4,1,1.31
4,2,1.25
4,3,1.17
4,4,1.18
4,5,1.21
5,1,1.22
5,2,1.21
5,3,1.25
5,4,1.20
5,5,1.22
6,1,1.29
6,2,1.39
6,3,1.36
6,4,1.37
6,5,1.33
7,1,1.56
7,2,1.48
7,3,1.36
7,4,1.32
7,5,1.32
8,1,1.35
8,2,1.31
8,3,1.37
8,4,1.30
8,5,1.36
9,1,1.40
9,2,1.34
9,3,1.43
9,4,1.36
9,5,1.42
10,1,1.41
10,2,1.46
10,3,1.40
10,4,1.46
10,5,1.35
11,1,1.55
11,2,1.44
11,3,1.51
11,4,1.50
11,5,1.46
12,1,1.46
12,2,1.45
12,3,1.57
12,4,1.56
12,5,1.69
